Time [s],Channel 0,Channel 1,Channel 2
0.261393500,0,0,0
0.261394000,0,1,0
0.261400000,0,0,0
0.261401250,0,1,0
0.261419250,0,0,0
0.261420500,0,1,0
0.261426250,0,0,0
0.261427500,0,1,0
0.261433500,0,0,0
0.261434750,0,1,0
0.261440500,0,0,0
0.261441250,1,0,0
0.261441750,1,1,0
0.261447750,1,0,0
0.261449000,1,1,0
0.261456500,1,0,0
0.261457000,0,0,0
0.261457750,0,1,0
0.261463500,0,0,0
0.261464750,0,1,0
0.261470750,0,0,0
0.261472000,0,1,0
0.261477750,0,0,0
0.261479000,0,1,0
0.261485000,0,0,0
0.261486250,0,1,0
0.261492000,0,0,0
0.261493250,0,1,0
0.261499000,0,0,0
0.261500250,0,1,0
0.261506250,0,0,0
0.261507500,0,1,0
0.261513750,1,1,0
0.261514750,1,1,1
0.267388000,1,1,0
0.267388750,1,0,0
0.267390000,1,1,0
0.267396000,1,0,0
0.267397250,1,1,0
0.267403000,1,0,0
0.267403750,0,0,0
0.267404250,0,1,0
0.267422500,0,0,0
0.267423000,1,0,0
0.267423750,1,1,0
0.267429500,1,0,0
0.267430250,0,0,0
0.267430750,0,1,0
0.267436750,0,0,0
0.267438000,0,1,0
0.267443750,0,0,0
0.267445000,0,1,0
0.267451000,0,0,0
0.267451500,1,0,0
0.267452000,1,1,0
0.267459500,1,1,1
0.274392250,1,1,0
0.274393250,1,0,0
0.274393750,0,0,0
0.274394500,0,1,0
0.274400250,0,0,0
0.274401000,1,0,0
0.274401500,1,1,0
0.274407500,1,0,0
0.274408000,0,0,0
0.274408750,0,1,0
0.274426750,0,0,0
0.274428000,0,1,0
0.274433750,0,0,0
0.274435000,0,1,0
0.274441000,0,0,0
0.274442250,0,1,0
0.274448000,0,0,0
0.274448750,1,0,0
0.274449250,1,1,0
0.274455250,1,0,0
0.274455750,0,0,0
0.274456500,0,1,0
0.274462750,1,1,0
0.274480750,0,0,0
0.274486750,0,1,0
0.274493000,0,0,0
0.274499000,0,1,0
0.274505500,0,0,0
0.274511500,0,1,0
0.274517750,0,0,0
0.274523750,0,1,0
0.274530250,0,0,0
0.274536250,0,1,0
0.274542750,0,0,0
0.274548500,0,1,0
0.274555000,0,0,0
0.274561000,0,1,0
0.274567500,0,0,0
0.274573500,0,1,0
0.274581000,0,0,0
0.274587000,0,1,0
0.274593500,0,0,0
0.274599500,0,1,0
0.274605750,0,0,0
0.274611750,0,1,0
0.274618250,0,0,0
0.274624250,0,1,0
0.274630500,0,0,0
0.274636500,0,1,0
0.274643000,0,0,0
0.274649000,0,1,0
0.274655250,0,0,0
0.274661250,0,1,0
0.274667750,0,0,0
0.274673750,0,1,0
0.274681500,0,0,0
0.274687500,0,1,0
0.274693750,0,0,0
0.274699750,0,1,0
